date,dolar,uf,euro
2025-10-09 03:00:00+00:00,951.45,,1104.15
2025-10-10 03:00:00+00:00,948.77,,1096.84
2025-10-13 03:00:00+00:00,954.37,,1107.29
2025-10-14 03:00:00+00:00,957.66,,1108.4
2025-10-15 03:00:00+00:00,963.69,,1118.49
2025-10-16 03:00:00+00:00,959.36,,1115.92
2025-10-17 03:00:00+00:00,956.13,,1117.5
2025-10-20 03:00:00+00:00,960.34,,1120.98
2025-10-21 03:00:00+00:00,953.21,,1110.19
2025-10-22 03:00:00+00:00,951.78,,1104.54
2025-10-23 03:00:00+00:00,950.46,39556.9,1104.03
2025-10-24 03:00:00+00:00,945.34,39562.0,1097.32
2025-10-25 03:00:00+00:00,,39567.09,
2025-10-26 03:00:00+00:00,,39572.19,
2025-10-27 03:00:00+00:00,943.47,39577.28,1097.06
2025-10-28 03:00:00+00:00,938.19,39582.38,1091.81
2025-10-29 03:00:00+00:00,941.63,39587.48,1098.24
2025-10-30 03:00:00+00:00,940.57,39592.57,1095.72
2025-10-31 03:00:00+00:00,,39597.67,
2025-11-01 03:00:00+00:00,,39602.77,
2025-11-02 03:00:00+00:00,,39607.87,
2025-11-03 03:00:00+00:00,943.69,39612.97,1091.35
2025-11-04 03:00:00+00:00,940.53,39618.08,1084.68
2025-11-05 03:00:00+00:00,945.13,39623.18,1085.48
2025-11-06 03:00:00+00:00,945.6,39628.28,1085.52
2025-11-07 03:00:00+00:00,940.84,39633.38,1085.67
2025-11-08 03:00:00+00:00,,39638.49,
2025-11-09 03:00:00+00:00,,39643.59,
2025-11-10 03:00:00+00:00,946.24,39643.59,1095.57
2025-11-11 03:00:00+00:00,940.85,39643.59,1086.81
2025-11-12 03:00:00+00:00,936.89,39643.59,1086.38
2025-11-13 03:00:00+00:00,932.37,39643.59,1080.88
2025-11-14 03:00:00+00:00,925.63,39643.59,1078.45
2025-11-15 03:00:00+00:00,,39643.59,
2025-11-16 03:00:00+00:00,,39643.59,
2025-11-17 03:00:00+00:00,932.63,39643.59,1082.94
2025-11-18 03:00:00+00:00,919.82,39643.59,1066.46
2025-11-19 03:00:00+00:00,929.26,39643.59,1075.53
2025-11-20 03:00:00+00:00,931.36,39643.59,1074.11
2025-11-21 03:00:00+00:00,929.0,39643.59,1071.14
2025-11-22 03:00:00+00:00,,39643.59,
